customer_id,name,phone
125,Kim Đặng,(07) 9605 1786
126,Nam Hoàng Dương,08 1677332
127,Bác Hưng Lê,(01)908-3171
128,Quý cô Phương Nguyễn,03 0441 2902
129,Quý ông Tú Mai,(04) 9295 9073
130,Ông Khoa Đặng,+84-79-468 9410
131,An Lê,02 8280936
132,Quang Hoàng Bùi,00 9280 1638
133,Quang Hoàng,+84-14-483 5897
134,Bà Vi Lê,+84-79-194 2186
135,Hà Trần,00 4473555
136,Tùng Mai Hoàng,+84-36-002699
137,An Mai Mai,+84-30-930049
138,Phương Xuân Phạm,(05) 1126 3222
139,Tú Hoàng Vũ,(01)297-7209
140,Thảo Bùi,(06)843-9396
141,Vân Nguyễn,+84-09-368 8427
142,An Trần,+84-90-063 9840
143,Duyên Phạm,08 1252809
144,Khoa Mai Vũ,+84-43-021 9986
145,Quang Bùi,+84-07-387079
146,Chị Dương Phạm,+84-89-637427
147,Duyên Nguyễn,+84 37 6986986
148,Cô Hương Trần,(01) 1055 9106
149,Nhật Mai,+84-80-434 7512
150,Quý cô An Đặng,07 9875 7616
151,Ông Hoàng Nguyễn,(00)744-0377
152,Trung Mai Dương,+84-70-960461
153,Bác Trung Nguyễn,+84-07-080235
154,Lâm Phạm,01 4065618
155,Hưng Thị Vũ,01 0335 6235
156,Châu Đức Trần,+84-24-637826
157,Quang Nguyễn,+84 15 9709030
158,Bảo Đặng,+84-49-909 7497
159,Minh Quang Bùi,(04) 7742 2954
160,Vi Phạm,04 6963525
161,Quý cô Bảo Mai,(06) 4274 7028
162,Quý cô Xuân Nguyễn,+84-85-436027
163,Dương Hoàng,08 9812 0848
164,Hưng Hữu Vũ,+84-35-181 3431
165,Cô Lan Dương,+84 34 1522838
166,An Xuân Hoàng,(04)317-1765
167,Khoa Mai Bảo Lê,09 4514043
168,Xuân Hoàng,+84-06-605 3592
169,Khoa Hữu Đặng,(06)671-5804
170,Quý ông Anh Mai,(04) 2154 5064
171,Quý ông Dũng Bùi,(08) 9426 5315
172,Quý ông Hưng Hoàng,+84-61-908 7441
173,Chị Linh Mai,(08)869-2248
174,Bác Anh Phạm,(05)598-1148
175,Chị Thành Mai,(02) 6833 4226
176,Thành Hoàng Đặng,+84 88 5145459
177,Bà Duyên Hoàng,+84 51 8023854
178,Nhật Hoàng,03 3249 2429
179,Chị Hạnh Dương,00 4256293
180,Chị Dương Đặng,+84-65-977641
181,Phương Phạm,(05) 1908 7153
182,Thành Quang Phạm,+84 17 7199673
183,Ông Khoa Vũ,+84-18-066 8478
184,Hưng Hoàng Bùi,+84 51 7036901
185,Hải Đặng,(02)540-0675
186,Khoa Xuân Mai,+84-12-198760
187,Dũng Đặng,(09) 0177 7532
188,Quý cô Ngọc Hoàng,(03)249-9479
189,Hoàng Hải Vũ,(00) 7792 4259
190,Nam Dương,+84-42-762 1251
191,Lan Lê,07 7088531
192,Hoàng Thị Phạm,+84 78 7286676
193,Cô Ngọc Phạm,(09)612-8843
194,Bà Nhật Mai,+84 25 3514561
195,Phương Trần,+84-85-844231
196,Quý ông Tú Bùi,03 9215 9977
197,Hà Hải Dương,03 6784 3933
198,Thành Dương,+84-97-311177
199,Lâm Dương,+84-44-142 3033
200,Bà Mai Phạm,+84-82-770 6087
